language_name,native_name,language_code,dir
Malagasy,Malagasy,mg,ltr
Māori,Te Reo Māori,mi,ltr
Macedonian,Македонски,mk,ltr
Malayalam,മലയാളം,ml,ltr
Mongolian (Cyrillic),Монгол,mn-Cyrl,ltr
Mongolian (Traditional),ᠮᠣᠩᠭᠣᠯ ᠬᠡᠯᠡ,mn-Mong,ltr
Manipuri,ꯃꯩꯇꯩꯂꯣꯟ,mni,ltr
Marathi,मराठी,mr,ltr
Malay,Melayu,ms,ltr
Maltese,Malti,mt,ltr
Hmong Daw,Hmong Daw,mww,ltr
Myanmar (Burmese),မြန်မာ,my,ltr
Norwegian,Norsk Bokmål,nb,ltr
Nepali,नेपाली,ne,ltr
Dutch,Nederlands,nl,ltr
Sesotho sa Leboa,Sesotho sa Leboa,nso,ltr
Nyanja,Nyanja,nya,ltr
Odia,ଓଡ଼ିଆ,or,ltr
Querétaro Otomi,Hñähñu,otq,ltr
Punjabi,ਪੰਜਾਬੀ,pa,ltr
Polish,Polski,pl,ltr
Dari,دری,prs,rtl
Pashto,پښتو,ps,rtl
Portuguese (Brazil),Português (Brasil),pt,ltr
Portuguese (Portugal),Português (Portugal),pt-PT,ltr
Romanian,Română,ro,ltr
Russian,Русский,ru,ltr
Rundi,Rundi,run,ltr
Kinyarwanda,Kinyarwanda,rw,ltr
Sindhi,سنڌي,sd,rtl
Sinhala,සිංහල,si,ltr
Slovak,Slovenčina,sk,ltr
Slovenian,Slovenščina,sl,ltr
Samoan,Gagana Sāmoa,sm,ltr
Shona,chiShona,sn,ltr
Somali,Soomaali,so,ltr
Albanian,Shqip,sq,ltr
Serbian (Cyrillic),Српски (ћирилица),sr-Cyrl,ltr
Serbian (Latin),Srpski (latinica),sr-Latn,ltr
Sesotho,Sesotho,st,ltr
Swedish,Svenska,sv,ltr
Swahili,Kiswahili,sw,ltr
Tamil,தமிழ்,ta,ltr
Telugu,తెలుగు,te,ltr
Thai,ไทย,th,ltr
Tigrinya,ትግር,ti,ltr
Turkmen,Türkmen Dili,tk,ltr
Klingon (Latin),Klingon (Latin),tlh-Latn,ltr
Klingon (pIqaD),Klingon (pIqaD),tlh-Piqd,ltr
Setswana,Setswana,tn,ltr
Tongan,Lea Fakatonga,to,ltr
Turkish,Türkçe,tr,ltr
Tatar,Татар,tt,ltr
Tahitian,Reo Tahiti,ty,ltr
Uyghur,ئۇيغۇرچە,ug,rtl
Ukrainian,Українська,uk,ltr
Urdu,اردو,ur,rtl
Uzbek (Latin),O‘Zbek,uz,ltr
Vietnamese,Tiếng Việt,vi,ltr
Xhosa,isiXhosa,xh,ltr
Yoruba,Èdè Yorùbá,yo,ltr
Yucatec Maya,Yucatec Maya,yua,ltr
Cantonese (Traditional),粵語 (繁體),yue,ltr
Chinese Simplified,中文 (简体),zh-Hans,ltr
Chinese Traditional,繁體中文 (繁體),zh-Hant,ltr
Zulu,Isi-Zulu,zu,ltr
